ID,PERSONA,AGENCIA,FECHA CIERRE,TIPO PRESTAMO,GARANTÍA ADMISIBLE,PLAZO,DÍAS MORA,CALIFICACIÓN OBJETIVA,CALIFICACIÓN ARRASTRE,SALDO APORTES,SALDO CAPITAL,DESTINO,SEXO,EDAD,ESTRATO,ESTADO CIVIL,PERSONAS A CARGO,NIVEL DE ESTUDIOS,OCUPACION,ACTIVIDAD ECONOMICA,TIENE VEHICULO,TIENE VIVIENDA,DIFERENCIA INGRESOS EGRESOS,TIPO VIVIENDA,ANTIGUEDAD NEGOCIO,TOTAL ACTIVOS,CIUDAD_NAME,CAPITAL_INICIAL,CUOTA,TASA_NOMINAL,ENDEUDAMIENTO PARALELO,
1484956,43234,BUGA,6/30/2019,Microcrédito,0,12,0,A,A,142017.07,4350000,COMPRA DE MOTOCICLETAS,Femenino,61,2,Casado,Cero,Primaria,INDEPENDIENTE,Expendio a la mesa de comidas preparadas,N,N,1213784, ARRENDADA ,5/2/2013,29860267,BUGA,4350000,437015.29,3.0002,9099859.92,
1484957,20966,BUGA,6/30/2019,Microcrédito,0,30,0,A,A,207522.37,5200000,REMODELACION DE INMUEBLE ,Masculino,28,1,Soltero,Cero,Universitario,INDEPENDIENTE,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",N,N,385000, ARRENDADA ,1/1/1900,10400000,BUGA,5200000,265307.01,3.0002,5200000,
1484958,6748,QUIMBAYA,6/30/2019,Microcrédito,0,24,0,A,A,49687,2100000,COMPRA DE OTROS ACTIVOS PRODUCTIVOS ,Femenino,40,2,Casado,Tres,Técnico,INDEPENDIENTE,Elaboración de productos de panadería,N,N,285308, ARRENDADA ,3/1/2016,11620000,FILANDIA,2100000,104838.18,1.4998,2100000,
1484959,20975,BUGA,6/30/2019,Microcrédito,0,48,0,A,A,105189.45,10500000,COMPRA DE TERRENO -LOTE,Femenino,55,2,Soltero,Cero,Bachillerato,INDEPENDIENTE,Expendio a la mesa de comidas preparadas,N,N,1118080, ARRENDADA ,1/1/2011,60050000,RESTREPO,10500000,400360.95,2.8,10500000,
1484960,50967,BUGA,6/30/2019,Microcrédito,0,30,0,A,A,77901.72,5700000,COMPRA DE MERCANCIA ,Femenino,59,1,Soltero,Cero,Primaria,INDEPENDIENTE,Explotación mixta (agrícola y pecuaria).,N,N,1581750, PROPIA ,1/1/1995,143431000,CALIMA,5700000,290817.3,3.0002,5700000,
1484961,31139,SANTA ROSA,6/30/2019,Microcrédito,0,36,0,A,A,78907.34,5796812,COMPRA DE MERCANCIA ,Masculino,26,3,Union Libre,Una,Bachillerato,INDEPENDIENTE,Elaboración de comidas y platos preparados,N,N,933000, ARRENDADA ,2/15/2015,5900000,PEREIRA,5796812,265523.91,3.0002,5796812,
1484962,24700,ARMENIA,6/30/2019,Comercial,0,48,0,A,A,8902976.48,12000000,CAPITAL DE TRABAJO,Femenino,59,3,Casado,Cero,Bachillerato,INDEPENDIENTE,Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimiento especializado,N,Y,15023606, PROPIA ,1/1/1900,2842410084,ARMENIA,12000000,360046.26,1.5997,16487123.56,
1484963,35637,ARMENIA,6/30/2019,Microcrédito,0,12,0,A,A,54771.96,6450000,CAPITAL DE TRABAJO,Masculino,57,3,Soltero,Una,Bachillerato,INDEPENDIENTE,Otras actividades de telecomunicaciones,N,N,551500, FAMILIAR ,1/1/2000,6500000,ARMENIA,6450000,640222.44,2.7988,8580329.7,
1484964,55777,PEREIRA,6/30/2019,Comercial,58400000,36,0,A,A,399645.65,13000000,COMPRA DE VEHICULO PARA TRANSPORTE DE CARGA ,Masculino,67,3,Casado,Una,Primaria,INDEPENDIENTE,Transporte de carga por carretera,Y,Y,7784616, PROPIA ,8/27/1998,238081116,PEREIRA,13000000,489751.85,1.7497,14685224.02,
1484965,44490,QUIMBAYA,6/30/2019,Microcrédito,0,12,0,A,A,49687,1100000,REMODELACION DE INMUEBLE ,Masculino,26,2,Union Libre,Dos,Bachillerato,INDEPENDIENTE,Elaboración de productos lácteos,Y,N,299000, ARRENDADA ,8/2/2017,15165000,FILANDIA,1100000,100846.74,1.4998,1100000,
